County,County Code,Deaths,Population,
"Calhoun County, AL",1015,14,116211,
"Jefferson County"","" AL",1073,110,655163,
"Madison County"","" AL",1089,20,315859,
"Mobile County"","" AL",1097,57,405715,
"Montgomery County"","" AL",1101,38,227888,
"Tuscaloosa County"","" AL",1125,17,184350,
"Anchorage Borough"","" AK",2020,13,278792,
"Maricopa County"","" AZ",4013,250,3711954,
"Mohave County"","" AZ",4015,10,199760,
"Pima County"","" AZ",4019,47,955869,
"Pinal County"","" AZ",4021,13,306174,
"Jefferson County"","" AR",5069,11,78788,
"Pulaski County"","" AR",5119,57,373403,
"Alameda County"","" CA",6001,123,1455715,
"Contra Costa County"","" CA",6013,94,1009152,
"Fresno County"","" CA",6019,57,895933,
"Kern County"","" CA",6029,42,803281,
"Los Angeles County"","" CA",6037,682,9700359,
"Merced County"","" CA",6047,12,248540,
"Monterey County"","" CA",6053,18,402376,
"Orange County"","" CA",6059,45,2931629,
"Riverside County"","" CA",6065,73,2075183,
"Sacramento County"","" CA",6067,63,1381161,
"San Bernardino County"","" CA",6071,126,1992161,
"San Diego County"","" CA",6073,71,2975742,
"San Francisco County"","" CA",6075,50,778673,
"San Joaquin County"","" CA",6077,37,668080,
"San Mateo County"","" CA",6081,15,693849,
"Santa Clara County"","" CA",6085,22,1712026,
"Solano County"","" CA",6095,36,408243,
"Stanislaus County"","" CA",6099,13,507834,
"Tulare County"","" CA",6107,28,422140,
"Ventura County"","" CA",6111,12,800027,
"Denver County"","" CO",8031,33,564395,
"El Paso County"","" CO",8041,17,586783,
"Fairfield County"","" CT",9001,15,897498,
"Hartford County"","" CT",9003,32,884548,
"New Haven County"","" CT",9009,15,853598,
"New Castle County"","" DE",10003,22,530555,
"District of Columbia"","" DC",11001,129,574404,
"Brevard County"","" FL",12009,25,539719,
"Broward County"","" FL",12011,74,1720825,
"Duval County"","" FL",12031,120,851033,
"Escambia County"","" FL",12033,15,297393,
"Hillsborough County"","" FL",12057,50,1184686,
"Lee County"","" FL",12071,35,604716,
"Manatee County"","" FL",12081,20,316410,
"Miami-Dade County"","" FL",12086,203,2415576,
"Orange County"","" FL",12095,80,1100663,
"Osceola County"","" FL",12097,14,253722,
"Palm Beach County"","" FL",12099,72,1286586,
"Pasco County"","" FL",12101,14,453579,
"Pinellas County"","" FL",12103,35,918624,
"Polk County"","" FL",12105,20,585982,
"Sarasota County"","" FL",12115,17,375325,
"Seminole County"","" FL",12117,14,413571,
"Volusia County"","" FL",12127,13,498935,
"Bibb County"","" GA",13021,18,154286,
"Chatham County"","" GA",13051,21,251981,
"Clayton County"","" GA",13063,25,260441,
"Cobb County"","" GA",13067,24,670438,
"DeKalb County"","" GA",13089,97,680962,
"Fulton County"","" GA",13121,118,869329,
"Glynn County"","" GA",13127,10,76513,
"Gwinnett County"","" GA",13135,46,764129,
"Muscogee County"","" GA",13215,17,184704,
"Richmond County"","" GA",13245,18,196483,
"Cook County"","" IL",17031,418,5154235,
"Kane County"","" IL",17089,10,495752,
"Lake County"","" IL",17097,11,692995,
"Peoria County"","" IL",17143,10,184048,
"St. Clair County"","" IL",17163,48,264764,
"Will County"","" IL",17197,11,664048,
