County,County Code,Deaths,Population
"Calhoun County, AL",1015,15,114728
"Dallas County, AL",1047,11,39215
"Jefferson County, AL",1073,145,659197
"Lee County, AL",1081,13,161604
"Macon County, AL",1087,10,18755
"Madison County, AL",1089,30,361046
"Mobile County, AL",1097,67,413955
"Montgomery County, AL",1101,51,226646
"Russell County, AL",1113,10,57045
"Talladega County, AL",1121,12,80065
"Tuscaloosa County, AL",1125,15,207811
"Anchorage Borough, AK",2020,28,294356
"Maricopa County, AZ",4013,195,4307033
"Pima County, AZ",4019,46,1022769
"Pinal County, AZ",4021,22,430237
"Jefferson County, AR",5069,26,69115
"Pulaski County, AR",5119,51,393956
"Alameda County, CA",6001,70,1663190
"Contra Costa County, CA",6013,50,1147439
"Fresno County, CA",6019,64,989255
"Kern County, CA",6029,74,893119
"Los Angeles County, CA",6037,466,10163507
"Merced County, CA",6047,11,272673
"Monterey County, CA",6053,36,437907
"Orange County, CA",6059,49,3190400
"Riverside County, CA",6065,73,2423266
"Sacramento County, CA",6067,61,1530615
"San Bernardino County, CA",6071,108,2157404
"San Diego County, CA",6073,45,3337685
"San Francisco County, CA",6075,33,884363
"San Joaquin County, CA",6077,55,745424
"Santa Barbara County, CA",6083,10,448150
"Santa Clara County, CA",6085,26,1938153
"Solano County, CA",6095,36,445458
"Stanislaus County, CA",6099,16,547899
"Tulare County, CA",6107,26,464493
"Ventura County, CA",6111,18,854223
"Adams County, CO",8001,17,503167
"Arapahoe County, CO",8005,17,643052
"Denver County, CO",8031,35,704621
"El Paso County, CO",8041,31,699232
"Jefferson County, CO",8059,10,574613
"Fairfield County, CT",9001,18,949921
"Hartford County, CT",9003,30,895388
"New Haven County, CT",9009,21,860435
"New Castle County, DE",10003,44,559793
"District of Columbia, DC",11001,90,693972
"Brevard County, FL",12009,18,589162
"Broward County, FL",12011,77,1935878
"Duval County, FL",12031,112,937934
"Escambia County, FL",12033,21,313512
"Hillsborough County, FL",12057,58,1408566
"Lake County, FL",12069,14,346017
"Lee County, FL",12071,30,739224
"Leon County, FL",12073,14,290292
"Manatee County, FL",12081,14,385571
"Marion County, FL",12083,18,354353
"Miami-Dade County, FL",12086,171,2751796
"Orange County, FL",12095,73,1348975
"Osceola County, FL",12097,11,352180
"Palm Beach County, FL",12099,86,1471150
"Pasco County, FL",12101,11,525643
"Pinellas County, FL",12103,31,970637
"Polk County, FL",12105,13,686483
"St. Lucie County, FL",12111,10,313506
"Sarasota County, FL",12115,12,419119
"Seminole County, FL",12117,14,462659
